乒乓球，3，体育教研部
乒乓球，4，体育教研部
乒乓球，5，体育教研部
乒乓球，6，体育教研部
乒乓球，7，体育教研部
乒乓球，8，体育教研部
网球，3，体育教研部
网球，4，体育教研部
网球，7，体育教研部
